,Ck,Ca,Ke,Ge
incipient,-1.9488932937110808,0.7961676252195653,301044.94596042606,-0.4035336127878082
intensification,-4.692404974637325,1.7075844387211927,465596.2258088001,3.1356447336886086
mature,-6.000259317662114,1.4195818177119333,560130.5417573671,2.068376892912511
decay,-4.508070634263102,0.8230960673031512,423444.5845347488,0.9684760022678862
