19950592,Ck,Ca,Ke,Ge
incipient,-0.839661744435998,0.25479483808668985,242036.4854163613,-2.404082480623042
intensification,-1.5431986121416124,0.6536532398506772,254380.54446303006,0.8026672983923303
mature,-1.3608855160104087,0.40176708343386136,255427.19871904404,0.4225344068675456
decay,-1.3372558087555668,0.30005073365965895,228536.0838752844,0.4116354721139577
