,Ck,Ca,Ke,Ge
incipient,-2.768048531510887,1.1952582410201584,408809.5282414935,1.4936362705549275
intensification,-12.202930455127248,3.2832582984667438,861417.2017143909,10.354933450388968
mature,-11.575621211901808,3.6324587726292976,1325131.213340558,5.43491069360835
decay,-3.0087006879150056,0.6405153743703272,509029.6805653999,0.44993145250129135
