,Ck,Ca,Ke,Ge
incipient,-11.294044491509013,3.747964435851495,725690.6138622798,1.1306905113621086
intensification,-12.849130304386456,4.528591365957404,956508.9819267371,7.101871099357254
mature,-17.341999525767772,2.9163756502658047,957146.7704706553,4.166309411263122
decay,-5.534502148351632,1.2160874942134183,489344.03317068587,1.0079470427188724
