,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,335201.59959176887,252865.99244880475,2711351.896286215,811541.9425474941,-1.9985998278204882,2.6476861768375834,-5.948254487649771,10.535916515938125,5.922536786070787,-4.67668772150549,-16.359308037373093,-8.005280507482182,-1.0645611124450771,4.4553892179744805,-0.2069400698276769,-2.452937519231241,5.346076733818599,-3.1866824200369073,-5.48039050688137,29.65223908666195,10.111980541374793,-11.665572916142622
intensification,469889.2237696051,210457.68462521906,3526837.106715587,531906.826910025,-1.0778863810006942,-1.30438179584026,-0.6812585187258253,0.10877860994417424,3.4330458463274183,3.9259651007486664,-8.105715698519738,-6.669671327786119,-3.5375177677695926,0.5633308602886157,3.4941174986773906,0.9108351020153481,7.846295095901712,-2.27296751084307,-2.321196524490981,17.711155694147966,-1.6019695929488833,3.606666688273049
mature,842650.8987796189,552507.2830717753,3830495.8396311374,629130.8498828448,4.709372021780818,-2.9350561879390806,-6.98714049060432,-6.7255349711116255,1.2967013630602182,15.258328966757833,35.429692119426,-13.516626467565795,-1.0930749934451922,-4.385198175252438,2.8102192204216805,9.152117238836613,4.266551256815386,4.712380663741777,3.2878336912032005,-28.88537239378711,-9.896690511093762,17.967401611814875
decay,536113.9275336006,894610.420458072,3519113.769598332,950681.0851890213,-0.6060320237948862,4.266927490166756,-24.744623222975985,4.717096790211656,10.918852043540719,-4.424521281319721,33.532563516539916,-3.4715933824603002,-2.033969985693759,-3.0663770536263297,-2.4234565365295504,-0.8061813572722495,-6.048244617443476,0.5640349996259104,-9.6814131136984,-14.23015288721253,4.068509224092373,-25.42609163110143
