,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,182199.8415513119,159039.73598999323,880500.8206085936,652598.7146653582,-1.0528735659504422,1.336448266461722,1.4177968935031684,4.183590086276241,2.049196764957409,0.6773289183253072,-1.8883455653504624,2.4323272452367406,-1.106092694816455,0.8399603696838415,-1.217772229841562,0.7493927658157796,0.9060534424203474,1.5428217545445984,-2.983394294287692,2.429475680218084,2.9192056673049915,-3.655298683465215
intensification,177440.72052001115,399105.44401265885,1145679.1435070117,979128.7652088365,0.4746318141909718,1.3708708909664993,12.00318723961846,10.975192550676523,5.176790172704668,7.001822746145942,-20.91291455490131,3.5177548978930506,-0.12644913343025616,3.8134349692533798,1.1962081264496993,2.9920293311000665,4.775454149412526,1.0384352309301597,-2.135079341097497,13.210549650504403,5.594528244664148,-1.4513249780209525
mature,428663.4278472157,634199.2757783285,1780612.7416938222,738407.4154575921,1.1713348227216591,3.126059502598601,10.638096952281288,15.81752861041138,14.385396072888932,0.34674139602467846,-34.07920650044507,0.378016123140823,-0.7664066155493083,5.764620078570378,3.352725650067021,-1.0209548808259177,4.188583144794724,-4.307039292991481,-6.735276097501652,26.45835787023685,11.32377283096218,-9.8644870742624
decay,663101.204813248,329832.6010165357,1870893.20145475,506817.4523828852,1.5795189608444389,2.813925880684604,1.7577721913763096,11.423417254493806,11.935631586440069,-5.885151605057681,-18.737650497343143,-4.284123011015012,-0.7341274604657808,4.677161732104796,2.3560886563797236,-4.4102542647023295,-0.36381277062893275,-3.367369092753791,-5.186098088531302,15.03654657449346,10.084388714164554,-8.748891144856275
