,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,828282.7923984946,103017.47447154435,4231592.375397774,227184.89780972464,-2.434358128697776,0.7915474067951239,-3.069804729600161,-0.45582310938369536,7.267418886117883,-0.9136881384126425,-13.06170718591504,4.638816060110348,-3.8322066301765085,-1.0199147136509579,4.632708140172483,0.8765636074853994,3.4411019351679046,4.120206769746763,-4.277521467848053,22.006971979380882,0.5428812297192225,-3.1325909105800505
intensification,886221.8133126922,301990.41846446804,4953449.425001179,651038.8585335969,3.2091280889475136,3.07055620765429,-7.9329019709728135,7.149969044106949,9.157629570832574,-2.5968885550121055,-25.287529588462398,-4.036095302842446,0.6906790663211861,4.126633619802968,-1.0142171989925906,1.5112438823714813,-2.701590116535612,3.672229789064273,-3.8921624732233626,27.30971335395208,8.187545273836246,-7.374545923173041
mature,355434.59830803337,707298.6672225913,2413685.984156847,2188113.6400357024,3.228737155674826,6.324193297571285,-27.74244795943154,20.390634205011768,13.349236359475567,-6.112485971523788,-12.142453881218222,-26.632567322277204,3.0793701344303797,8.818795891322461,-2.814630466826622,-4.3999612463750255,-9.314214071334295,-2.2997774257688306,-6.610936373056076,27.341950613640645,15.778965632589243,-23.800292267934935
decay,285900.36857366486,530015.1640412054,3040147.699204122,673145.0135228192,-2.623094005296201,0.14283862447965287,-9.041023359763825,0.6563158972480234,-2.0101854116205655,0.525368902748364,29.404751299404953,-9.346516039356054,-0.5810814772568894,-0.592960783382858,0.2116019273085671,-0.3948298525452274,1.4498341619052666,-5.5740536269616685,-0.258468041887414,-16.290799772439666,-0.4067214825252213,-5.924876844617462
