,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,570141.7461583029,172991.7673346689,2299345.465647244,408998.2671980256,1.9985386407033823,1.859365373380745,-8.031589285525268,6.709491359295052,15.225479731233369,0.7240931870577831,-20.119426194167566,-4.17987233003796,-4.16273827598335,2.5159581817392414,1.4638292336362284,2.9981424003143493,-9.440878803795457,0.8223624495215465,-9.903746483513013,16.711598035193994,7.124175199170873,-9.738845865260814
intensification,527709.1958911447,310176.15614329366,2339059.9364807536,503236.8706657483,-0.8286143860673298,1.188320791564192,1.5514472300336393,7.678849858121812,7.959389092620266,2.2621876306819124,-0.978105765085742,-1.877556941524767,-3.3562513958419697,3.2452813885755787,1.4779502708511938,1.1326684848213904,4.128471265253676,1.8328087954061922,-6.12173241627221,4.383744186373109,5.361009920697097,-2.4170368911572133
mature,774338.2346463593,677324.5743843677,2914191.3821406187,763212.2916215652,-1.068528116324279,3.330430949377259,-2.1831064594911282,8.623927265580033,8.281754566752058,3.0193629943472606,-19.367507327549717,-11.092745054362407,-2.713008107872908,2.8186547988487027,-1.07615744476868,5.544671826233428,3.583652248110935,1.9191202628865616,-7.09600917846776,26.20279415147606,7.818805148088941,2.204831592177808
decay,662676.0682335636,606037.9087482345,3094106.9864482437,876989.5962939151,5.618410876361024,3.343696620860186,-14.124426535893988,10.345287708104355,10.397560973632581,-4.1557873892149075,-8.070262473651955,-12.713333784358863,2.354297112291607,5.579795678932255,-1.2557408227729727,-0.5506658260984092,-1.2897634935484215,0.7081378421720665,-2.691194299184344,15.286514639636497,10.606712650360667,-11.04824261746741
