,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,301096.5876268723,309886.1818962374,2456539.8310718853,815809.2186500672,2.216505526250468,1.0378864601172217,-8.95687539527618,3.3106395131824304,0.8198216692418554,3.38617454151659,11.874354412111407,-28.061207015245,0.4561220107875023,0.7918805986110762,-2.892591908000668,4.193526337157462,-23.7819156184587,-0.5392399765746392,-0.4580215908748339,-28.91590016154439,3.0801048487060805,15.254452130211744
intensification,116745.34258303962,566949.5460325836,1661722.0401469744,620081.665647825,-0.34107694444575476,-1.8033157535818052,-8.438390998842792,-2.3299613157643937,-6.880992691107094,9.893777083992305,42.402017303487035,-19.165659945956804,-0.2764017187040118,-1.865763833457659,-2.4249448291299047,5.230946574774035,-9.63523835110341,0.13385012143823058,2.3116551639496294,-43.25778771130191,-5.189476071400857,13.191080384316635
mature,58705.741376271595,786534.6996945728,1425147.3328846637,764235.6673815867,-1.6945730149867448,-0.8591018719832777,-5.048668562123808,-5.282564549251655,-3.8584645493083833,-1.5180132193510276,38.3474149494431,-1.6391931018378436,-0.2504934649776017,-3.372882609604372,-0.3387881947640677,-3.2216418496492163,2.156119983176091,-1.5283971690656741,0.966001467574293,-29.448053389156456,-6.127091307566566,0.3446919199000167
decay,97982.70614220586,340650.06537369784,1584155.9782033693,416129.26425885124,-2.655947245158726,0.7625438853277299,-1.5793112791758206,4.745677092475947,1.3895681480462125,-4.96432942179607,20.015967221458713,-3.7113990825945073,-0.8538580947222645,-0.3897123695711322,1.2692955299564128,-9.032990189707988,3.929009286248092,-8.124030706622689,-2.0136759779207956,-11.85169941087608,-0.08552756076369943,-10.737619995679948
