,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,1100762.4456395542,432906.5506508293,3503417.728937132,766683.7284812261,12.063779922099007,8.24989035849772,-7.3689809884359585,6.058360193934486,47.18564234754612,-12.142964445861011,-69.0541086503643,23.365166318598355,1.313675981020683,-0.397707273045751,15.281188618527423,2.478900945735435,2.6220642040755937,21.49786730158559,-11.590783448421972,66.98137392077685,12.430335227033211,-15.29464019938321
intensification,1509245.7470349874,482715.25313780596,2972734.5475691846,1965067.921834866,10.16940874088196,9.608359908892798,-59.91603974475894,13.16667694059267,30.753038467053273,-11.297419425443994,-32.035083930222285,-10.637909165701632,2.9026626424270487,4.507396081399942,16.410223800407106,3.562146640233766,-19.94322001584444,29.88434584834125,5.434953983128597,61.838494918254824,18.417883097377633,-32.560461671308715
mature,2155494.2770963176,649974.046843347,2297276.362602698,2181841.5262100413,12.29564104598309,3.0317055796155135,-80.06663984897457,3.723272645872201,-0.27680696149893436,1.0049940562408024,52.158997648813575,-127.64926851975744,2.499565189098462,-2.4021496043260955,-0.6960527493173148,-1.4568700660765197,-6.774362161680549,-43.715596448446775,14.90810083778022,8.837638992497357,-1.7702970560606344,0.1437595764638928
decay,1211608.4143738614,284213.4435052689,1604867.6214073712,370745.8570255743,4.444680318431273,1.1302537600233302,-9.586878852387589,0.670076800114289,-11.671179779694226,-4.316000568542228,10.878450026575171,-24.394420474785804,0.18923692346168808,-1.5705686554782425,-14.115526944685369,-4.217929078341554,-12.214536085874443,-12.050329660247472,3.130586913463465,-17.9507875784933,-0.36210546970836693,2.087135162036454
