,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,1563038.0594709723,212853.47908304134,3074415.3866764456,518463.6882315525,2.4710914912962774,1.7908634351574346,-9.19730942750878,1.2743269542712394,0.5673762066874241,1.024610837764561,0.12617124059046367,7.9457241485212835,0.4688605124245828,-0.0974934113622717,-6.633411433503949,2.544831480048583,-0.5775916957432249,11.162779673831842,-2.938832713737662,6.022454999878813,1.0036841613978271,-7.254580856469462
intensification,1038341.213622065,295743.3205970909,2666416.3529727464,1102546.676757384,1.5558161275795177,3.9327826157712997,-11.745273263186142,12.608286003994037,6.576443122995863,-0.5065841226805169,-13.482992303347167,-0.38990622316479734,-1.6460925726258617,4.273803364112049,-6.646885991776252,0.34109972136193534,-4.018013949138793,2.214130750888787,-7.734730371421297,19.654435489815,9.52318723226519,-21.749522293126592
mature,895189.9630059333,231559.7148215087,2836420.168319281,674764.1821146287,-1.849736410480172,0.6971246269149605,4.635721113777247,9.485198024474148,11.297216592534516,-1.559705371307668,-13.986216449800148,-7.606214985169771,-5.7495961176705785,5.4140731942545,6.35315826259529,-2.8282473597666584,13.331609789449026,-14.493405319542925,-6.096670113504437,24.5318415359521,7.519531409100197,-11.736667245070052
decay,903921.9945911384,448892.6852328291,3173740.216242441,932204.4402057994,4.558826855756739,4.841550005333879,-7.406701022154219,9.781086465719824,12.813259343587273,-4.883563022880763,-27.691168103003474,5.418688053381241,2.969784154462523,6.397275751575146,-1.3882141188087374,2.02957168462981,-0.5433176069221057,5.208534198947867,-4.8010966013053915,29.995724662478853,11.852671167896517,-17.39794134230742
