,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,400427.3855512682,769390.0979804038,2558989.0795683283,1082343.9067271424,2.196075343394396,5.324139264926851,10.089006249649072,16.392729104648737,20.78897718224669,-4.730375996939355,-62.754163208446734,35.79796175661133,0.35822770509797836,7.6872722290877995,4.891025557420594,0.9362170332972946,-11.989194751593857,19.141669639105316,-8.377737016504856,38.47988686380941,16.735182869958535,-22.96001497250568
intensification,561755.0146004723,615916.1059883666,2161801.6148606916,1407809.0400517061,-2.3979237978980628,5.654596881217646,21.36268413969442,20.897640797366908,21.665378029310983,-10.215795797897393,-54.73000918424159,27.329337140219263,-2.591918019202047,10.60776717228969,5.801742887426229,-4.8009377763725265,-7.306644118410263,2.078148204331237,-12.606962058565168,28.458604724034966,20.65790193767413,-24.786145593560512
mature,960385.4810789378,444990.37134518044,1949827.0548287155,1341118.847874112,-0.3418224793347414,1.6644383897810828,15.03412770441185,2.5281509203886574,15.023873240990575,-8.760464449043521,-19.02614155151043,7.1866761873194065,0.5108123364689884,-0.8790994222192293,19.106055224292035,-4.417229256327113,-0.43236927128356006,-7.70955044135073,5.4047978937478005,3.9014670551497623,5.2069477233239825,-2.390249844646943
decay,1142507.6136417792,352206.3398874967,1941408.2223976306,934349.9971646778,1.6769638261725988,-2.689207226770985,-8.518765467142414,-4.263253360925659,-10.832100538204072,5.1521306821389725,34.594037986741114,-22.736004473295736,-1.7861565549159093,-2.1338933963082223,-3.8340071600411645,0.48485869239940765,-0.5457191852613543,-7.195407534720089,5.985849977564519,-28.297955531032652,-6.241318123894239,11.285084832358889
