,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,208029.00162998762,273821.22889314825,2143049.7125417106,830815.7197046962,0.09415802934847356,-1.3188800687906026,12.647465097320676,3.343278745948422,-5.738146175853017,8.105251386943685,2.3458674873544467,-12.306010153924435,1.201614660570264,1.4795570378109615,-1.250638776768352,2.9207080062909254,6.188531377164299,-0.6737013919634962,3.262785359642536,-8.898959236859294,-0.5223845659137334,20.936495113333194
intensification,207276.25931886054,805584.7165415603,3027890.757914956,1079126.4773926842,-3.5568452763490046,-0.29406284665343746,12.044092585921195,11.53780987495071,-0.9628956658098621,20.767953233460304,10.957288146877517,-1.505835568536696,-2.117730061611195,2.306850857406865,0.33947366265781964,12.052420914305463,17.65803224031956,8.123764925288482,-2.54853879453476,-1.786503216130144,3.1163404024493095,10.135883204795661
mature,239013.07970480097,1233898.0705915585,3634224.89743425,1458540.2119658275,-1.306623128557239,5.412277082483189,4.674144515895914,21.25389164824146,15.670771913986579,3.927292999836082,-53.097654762798726,5.763809416066021,-1.486008680593314,1.0956901679755597,1.1347646676766483,-0.7736244597646155,0.34292705294889547,-0.917115295105143,-10.430353292383982,50.07306042840895,11.140697106157573,-23.260671843516707
decay,241698.05068067517,805023.1765802186,2556410.8145812782,1826714.3520327162,1.0647066652091348,7.02211538289903,-15.907624659035939,19.58016437644862,16.887378165607707,-12.024384265079904,-30.280056815768614,-18.22026486116575,0.9563081845151357,6.977902060817744,-1.2171876256038288,-6.852904624810521,-13.58414913014069,-3.880166842315765,-10.01774374310337,31.53882567945473,17.72952863381897,-21.147691016634578
