,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,931251.332936143,187454.33544290884,2725742.916990518,491975.89380916953,5.199661167849673,1.885199032727594,-2.893486225918348,6.416332695304191,14.498385230186477,-3.7516715099872067,-7.597515327109825,-5.179119605689505,-1.8065635821157013,3.170832978373427,3.6056475506861787,-1.6971529835843546,-4.188060474337631,-1.4966717882844056,-3.8078774789230323,1.10327991084087,6.585652188979449,-5.627371103817438
intensification,1179427.9378270353,348312.13127300027,2900652.164315482,722070.5452876933,-3.9600824055471744,3.196462262678465,-6.764219299717428,13.133555654287491,17.04821439504784,-2.9336270631551136,17.619865249175184,-3.4406554249443233,-6.341975741266431,8.043990964089348,5.886630743652412,1.0125584113765644,7.622156386356993,0.595529122044312,-11.925203794264139,0.726592842446411,13.883278866140703,-15.861590407016283
mature,2169745.1648477656,282497.03611756145,4326170.550794057,551315.500307054,14.600529400483508,3.16809020466097,-7.163125003793983,2.472192778168647,25.46822864550209,-8.391089733611386,20.50271304765555,-12.238472064651953,1.4144299801159497,1.6231566184367596,2.001929118328155,-0.9105116692733821,4.696976356258211,0.013741523823191012,-5.697679922029461,-23.243141088086862,6.784680637845682,2.6168958065125136
decay,2025664.222916037,158896.97460587474,3812558.3906720886,302728.6325732314,8.818776947684066,0.6851054699829866,-3.701763256713167,1.3679571577393457,7.714372099763725,-0.8883780729340386,-19.032241401195193,-4.4875384063247825,-0.12088455332439925,-0.14432025720241584,-2.2658732296665374,-0.4735100195773953,-4.963102061912586,-0.7728476403068418,-0.4763629117632117,8.952125648311707,1.0977197411130022,-1.3550296484345723
