,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,714190.4227289294,145029.81529274932,2271101.138910897,715282.1789976306,-2.702213021977548,-0.6234259671784991,-0.9488492870554601,0.03958283367694639,-4.797266059795577,3.185553357190929,7.3599022029566665,4.464213628094107,1.2222702121700881,-0.6861585166742101,1.1163363410495297,1.4560607321955237,2.045184266787432,3.286621989374093,2.5879634116890577,-1.6636556271362264,-1.0664838241399592,-2.166023759452421
intensification,602192.5501540581,403901.5424631894,2261314.8022239828,941077.4894800199,-6.635298096551475,1.4049373889688077,-2.516989853856715,9.460497298884636,-2.3444717731649956,5.266928511980661,-3.571412225359672,-7.338094828243385,-2.7891090623156285,2.476345160939305,-2.424442966449098,2.5614055787787473,0.87087810385904,0.49207214250541775,-5.310331900866769,13.594578279626901,5.3500369767139135,-4.147320181992547
mature,526757.8346665095,375411.7766561436,2628564.8316772953,654828.4778173986,-3.5200212872667707,2.6350749269144123,-0.4658784287330565,12.822906300297578,9.199271622454141,-1.9397951881127884,-2.3433796340536395,-7.088617661248042,-3.5681910198509206,3.273729197805555,2.5742989867425803,-3.816529805230326,10.762537462732828,-10.942274841787748,-7.509918996063919,17.09181681278629,8.311096756265629,-17.14244190957034
decay,746357.2141295469,140071.4179114946,2923526.3311775713,185080.42296361798,2.658283362033387,0.30782346249577336,0.41369603732358656,2.02708415585372,6.983630321340731,-1.1536894559528315,-2.15989063671215,-2.7900046335517397,-0.7566766247254153,0.6311723702404223,2.8591835589486188,-2.475155159904571,1.784195251812365,-3.2336656935305075,-1.15833993786295,0.8721064891675413,0.39779498940620645,-2.0570491785089
