,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,314243.5876831041,211875.1941952181,3504481.5992843816,602919.7051000915,1.2004622667890483,0.4746091591604808,-0.45920589755538654,4.148924330321933,1.4843430288049337,0.5452505007009635,7.229570346041859,8.244687293774337,2.832253662334963,2.9998899409750637,1.1458639422262846,0.5127056946030681,8.498212544040573,5.8845577554679345,1.3365923393708798,0.5273858287650546,3.6417703650635564,-6.9682597661837224
intensification,569302.1819797085,434801.608258884,4056472.3797444697,1071661.889635427,3.8620582780464767,4.591382519079722,1.159396273256599,16.452388506126518,17.266096582726803,-2.9320538993788245,-33.8358409873106,-13.657204977075427,0.06783667216213018,7.80999069320684,1.0900647297134756,-0.029830203659210297,-10.913916805844835,-5.61474818787908,-7.722591055887129,17.90046963016269,14.763229682766411,-7.250535443673572
mature,496782.2418036985,271567.0987889486,2360927.4707010435,303308.7677120829,2.2685386837527823,1.760951749666519,-3.095481973808695,5.314647959170592,2.62066998685638,0.3459961289379857,-8.50273342255716,-7.140063587794096,0.8803173963132568,0.06952912870095873,-3.5339112925327303,-0.19355231339987464,-9.198928351520687,-2.759880211795576,-2.1250908459698086,0.1307483610923862,3.0141477671662127,-4.029946556980768
decay,512955.5756057043,294716.1713307496,2497558.565291782,373253.54340473877,-3.416572807366803,2.199460973454936,-0.2952139362313624,4.378989237331507,5.545357427345993,2.6022272763761998,-0.7543871647695043,3.2974575728425077,-1.3065205737231727,0.8485869589771713,1.2035968603639,3.50643491830654,5.465590910239999,5.199429095712886,-5.55887240089396,9.931764818607668,3.0837359058069116,-2.7722316506924916
