,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,2513494.833795143,297525.759764784,3262616.1828890806,1077653.5295737146,15.278534161455132,0.35640158583059883,-22.32871497045093,-2.195448271202971,13.706372955791627,5.038854837014088,21.892772928191317,-15.55366226968268,-14.338958508565298,-2.7581665525659154,1.0476602391524201,5.399949109956841,-7.10538512438656,7.928565436206055,2.976223030646527,-21.947977243582084,-2.190755584090816,3.3489610066407787
intensification,1259206.9798149227,486290.48692756216,2333100.7874854663,609823.883188716,2.8866768532617884,1.500885617840189,-4.6595876793994275,1.8515177577807622,-13.370147512306879,1.127794235345561,8.124653112426873,-9.94384976182849,-0.4321582838967324,-2.596371037615024,-12.61745150335252,-1.7323771263574281,-6.609413917939585,-5.545475896709747,5.140258480056336,-12.961156204228818,-2.509539221762416,-2.112731572061446
mature,343948.74492029886,216454.3664269676,2276425.319461829,355907.63601813547,-6.953923678278395,0.45527765362682365,3.714990246253057,3.0992697481534703,-0.4833044111485473,3.682868348613934,-13.168075625017702,1.1426046208037572,-3.6472036043465605,0.18645475634006492,1.5681227004683307,1.0351954792017564,9.837425733442226,-0.7091404301509746,-4.4472189130346935,26.24443479048527,-0.0036807748855307134,-1.2360245528551448
decay,837435.7873892084,143944.59058834327,2588009.168981456,368198.9752093254,-1.3501211125079746,1.4778007990786357,-1.1933011725526126,3.420172227203115,5.367705677563055,-1.496903386644404,-19.347466165688765,2.6435532856516852,-2.7999217077048577,0.6866427978804192,0.663384344152956,-0.787332084033636,1.151855518359302,-0.2649116676202836,-4.5766416468394375,23.042743969108656,2.6519427307352466,-7.5219383530276955
