,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,231161.77166276542,217901.24356202985,2692072.1179303033,606033.8632280274,0.5115544706733217,2.461412451610037,-6.1767472844347004,6.792171954945033,5.574916892499016,-1.8380868284125884,-36.323079075036205,-1.2266663690615298,2.0708906093170376,4.274252103849245,1.164082150292165,1.8972086829801953,9.59486038385771,-1.3600037639105889,-1.4378678199234913,51.58313227265529,8.06605501472778,-13.102256634228791
intensification,340697.0434507574,798212.246787749,2992319.6001647967,1686024.382252101,-0.2703525471255659,5.767707906498416,-26.546716408809502,5.297547487825871,15.915446687116297,-4.352204572800966,-7.362943898583499,-14.876557231645904,-1.638962279568776,-2.551137799399009,0.9189267815698645,4.00763509396676,-2.2714625949136122,5.311612726127542,-9.499164546173585,31.90855025960495,7.889679248095184,-11.656093938861922
mature,212126.79480731924,799308.0812049787,2537343.5956188617,854563.2305257001,-1.167803119371157,-0.5353692440796858,-15.013674403724854,8.909949205192362,-6.3921923026731475,9.564684347961654,27.704384531051648,-40.76473696492967,-0.5819433398843449,-2.0957583108712674,-6.644799798922459,-5.030422117054452,1.344646592755254,-18.03220426124672,-1.955779859700155,-10.178260415200379,-5.1497880157440585,-1.1910909052342717
decay,358544.0866507346,528655.0613949037,3806855.4784204043,692061.738445867,-3.0854446208175057,-3.727773549066806,-5.585876734727201,-3.090046653741463,-9.733156279456281,9.6425888033445,57.37170556392966,-12.41789088769824,-2.3446616287391566,-2.1953928065783095,1.8204947988389413,-0.5262346300813888,6.800858161360766,-0.2563554427295083,4.740432908410912,-41.89952604702418,-9.531096538100547,9.665705363982992
