,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,313285.7926564288,210879.13106596185,3712027.619708522,355776.1287921145,-2.2382768558154758,1.6852468328743726,0.9794488956714081,2.095898599242335,8.467735818487375,4.361562289064637,-0.4685208852045452,4.469368602711997,-1.58695771174615,-1.172444949353181,4.487926970437525,5.786394783263487,8.457244239887885,7.086000021708612,-4.532838870990956,10.1845930852365,1.8354842605668142,1.5001817154256887
intensification,479101.000260497,1041661.6136680623,3997534.8447296224,1519346.8969111242,0.433072254738335,12.022367548638712,-4.509897121559597,22.19121125425638,32.755943033762115,-8.901890874167279,-17.304661164214387,22.96132327075005,-0.26465441894786923,7.613518511230941,-0.5978861646146177,8.398267433474636,-3.8339598816528055,22.86254053480014,-20.898389394999683,17.547526149382847,27.469002013259583,-26.799891111765888
mature,392984.8548324778,989320.0255027916,3499711.5210292423,2634370.1759336786,3.09284953937076,4.811061359683155,-12.566150254302801,12.912980096872666,14.953383010721677,-18.595521131846212,31.90434384309138,-25.52984675637575,1.6903500526480286,6.49273354239099,-1.2210815933240613,-14.030926437472964,-3.618540590039996,-0.30696139879339235,-8.270553704991821,-26.04958371819933,12.666513431562755,-0.25624499359310793
decay,339842.58604169847,850293.6681102542,3489256.959851474,1945157.8263695315,-2.796293930143312,-1.9805254771159444,-14.322248800749646,0.39546340097765104,-11.169084153989752,4.236938320822045,66.23303340887735,-61.92778371660323,0.9972185554133963,-3.7550865862549494,-1.4139103803709543,1.6666960452284545,4.278912075459768,-30.325999018726677,4.978354366359542,-44.83557860252461,-0.1942533974999947,16.884072496149262
