,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,228055.67102076422,435991.8828296447,1238970.4729055874,1166026.7568961272,-1.9323053232378264,2.5168175250004414,-1.5388176824205486,8.94319848784516,2.9679324085203334,0.29178424724026136,-6.0980265439755925,5.801389369682711,0.27801725623375806,0.03325391764510206,-0.42930388358573207,-3.0054620300336423,-3.8333539710798266,0.03581320546760933,-2.8127240903434494,5.735795578554141,3.1291346855708144,-16.247592334480807
intensification,280227.97950550885,311676.13333338586,1294779.7187367722,762964.9560327638,-2.133122851737513,1.3171079395443948,0.3101554857328963,7.105222312083122,2.613857281582682,1.5613200074944464,3.1881588243539647,3.6087873862740585,-2.324850807621074,2.570126794484079,-0.4951338073709437,0.1680289485508252,-1.2172794981080777,3.292182382256328,-3.9250060011467434,-2.582470956457426,4.394823313595108,-7.111671830367958
mature,143402.86746877694,411807.9145100447,1214916.78177345,1392012.0076559607,-0.8383291931182134,1.3092761852969215,11.739630786250183,6.7814947346368815,4.471371937195713,6.658899166617459,-9.595533005836257,4.891872568374481,-0.44542495118645636,-1.2841913599394132,1.782583671004853,1.5278317826933492,11.18863184184888,-7.906928953772042,-2.2178412740121507,9.882863254553168,0.3411511654158499,-7.840665470533223
decay,909966.6352677492,218148.5385924934,3366214.116222729,656260.3844806808,14.565388773505017,0.8449858882891792,4.012586830336306,4.5225374777070915,17.130107229538645,-0.7258803661010986,-26.919497952889248,3.7760401621280657,5.4796729789705605,1.5831838271651302,5.713620138979911,-1.9314907241630532,12.417986536585868,-1.4210730223796695,3.993887571235464,20.759508885633792,2.4719412313559577,-5.7070638318785205
