,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,400020.1828312308,625429.2308604963,4592202.214839797,436897.24447606463,-1.317333244794284,3.1291748647645035,-1.437770642131426,3.5797671198796808,13.516612937023815,-4.965211018863538,-3.8149930094188864,18.030724113450415,-1.9764306412316843,-0.7559991904460022,5.386316000351408,-0.1398742646140292,17.10750043795207,8.617469495665059,-6.318455316702188,23.677597334296664,5.275929009364687,-14.430792379796465
intensification,498234.5167753154,413723.5198492524,4825572.576593477,732176.1633466533,2.361430586121679,4.125281790283665,-7.243850890688247,7.740247106732182,13.16722511603284,-6.768178099185636,-53.34345693089759,8.093099442427242,0.7086996642306169,0.34323541497244614,0.3927889780509574,-3.500470043319419,-7.3276193126434785,3.5416436664535236,-6.2877237615765385,50.89825792282067,6.882673372314734,-19.53555377339415
mature,452747.5019739775,277909.9196131816,3797442.8059330084,681957.6161064788,5.005038241336144,1.602066272668963,-3.594491539017188,5.0281078156963295,4.451597407915112,-2.2493760124214135,-67.6762173831397,-18.368079761892275,1.7529668812291135,0.2857569946501317,-2.6653335240314626,-2.545157601480667,-21.660276848071884,-5.8273501459946395,-0.5098264179414685,44.60539383274887,3.1302599539681126,3.918130261184119
decay,238173.49770999185,303954.9027810297,2362946.4973856774,761724.3961348714,3.289775144725934,0.5113747160563542,-1.0439033715890271,4.324528170452486,4.278400043626743,2.6861634431524997,-17.061743104012532,-6.812282414276816,0.5930051682323462,1.0672166043229934,-0.06061598937589711,0.5482147813166555,-0.7522199497530037,1.0054342988155927,-0.5378661722203529,14.063651381122623,1.6752047925602884,2.449285171050895
