,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,166455.87649624288,344613.9860075268,444063.1844379847,1003076.8651792535,-0.8176155423068068,0.4874929283330111,20.30127715880567,7.937642286487427,0.6963144839468025,1.456907453359856,-23.788724256569253,11.917324429131913,-0.7338226720953759,4.351460649457976,-1.0872802649488131,-0.6629703159520244,0.9312463232327002,4.173408716280151,-2.1137173628694113,5.236308963303086,5.330271588842536,4.619719159466486
intensification,139224.07012179287,383901.1114269612,528938.1908436723,1103618.2308313963,-1.4785205286731347,0.7037043481454943,17.840301307571163,4.822399661107124,1.2324218103974354,3.2746548390388366,-17.006143444008035,17.03690165586199,-0.07153851730154195,0.8045602533557359,0.37046921456043314,1.4321159783934834,3.3276994358543064,-0.6296429898239289,-1.6367687763646424,3.9720621009643104,2.2761564523162763,-4.648642999221878
mature,240835.87216380858,441898.47024451353,819270.9252557647,1015432.4756085565,1.6828405858531188,1.0784474326102973,13.697622926196516,5.457994385884477,6.4312268817524005,2.3085155424984802,-23.286881799761517,11.277827942426304,2.1175105366411944,-1.6609828226994219,2.8827615732393728,-1.408662721059376,3.2080703203713443,-1.6127515176386338,-0.7871772900496117,11.114488608083226,0.6623686897163235,-4.650950919752896
decay,400003.137974538,288465.22208918683,972124.6145566873,769835.5691212554,3.1350932830459297,1.5530593948350027,2.8194002739822754,5.452687635399831,10.92274153232303,-2.7807031462952287,-15.672254839425035,-4.210001642744442,1.5312718817136872,-0.25536316220410654,3.866886152363762,-3.2592750537704833,3.4284998593466196,-7.309725833995334,-2.367702702078333,13.14626114174345,3.421056333089574,-5.733011552668448
