,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,821323.7429298734,81575.86725571819,2968450.605279425,200904.21856923282,-2.438748273607998,-0.015598841733474911,-1.0698176812163083,1.5124163579176013,-0.4579637964469834,1.4395567996738041,-23.25031379761585,-2.630794447878209,-2.4567807284004477,0.4708881179503051,1.1792244582338833,0.3153696971312138,-4.447770009206148,-0.08598220987309407,-0.8171588606606062,22.311109743234006,0.40382809710848583,-0.037421801128794785
intensification,829150.3824364424,256380.7841719756,3362205.2297377246,432271.4721626151,-4.92797073456567,1.9895970220992705,-3.4812248389746787,6.531477775276192,9.75050448154134,-1.2209801096822603,-0.038723109733462505,-3.371528661696323,-6.799958532070571,1.9659792493903918,0.6889919122215187,0.947430207329089,4.0406162934678225,1.8619181073437931,-11.999886281786221,12.488534976741631,6.710291070188269,-4.779255845210754
mature,843582.5247623181,269819.6741596992,2935056.583091877,463579.45089642704,8.015442172174504,2.4348699384983425,-8.391132993017177,5.975781712079919,11.81237572258783,-0.7989179096436985,-15.927926859216369,-1.6508444876614512,-0.6621318477311938,0.1585979263644789,-4.9186340675534685,-0.09084225917716093,-16.53218605185929,0.13143005775204883,-6.280697679468453,-0.2285683718002529,4.2489874240481145,-12.584640159683595
decay,467568.5287891906,235274.1348692544,1960184.7098434763,453398.9538271786,-1.5697259433882707,1.515818919108506,-3.305687885215413,6.044222952338072,3.9706765782733293,-0.3257769138027972,-0.24855720633534548,-4.224141375069721,-1.6424279393951622,1.720688299732177,-0.3743834151506738,-0.4554432629414206,-2.2328765495501752,-0.9143549624356874,-4.398967017703767,2.8910944853888534,4.398737684090942,-6.04012442491945
