,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,300086.1997825039,95755.84214952405,2587683.628081867,173815.19595988817,1.5227970630313408,-0.4407538413603596,-1.974898336950375,-2.291378822188252,-1.608780170096805,-2.19179428650966,-36.64651293464641,-5.644857314646767,-0.3315524503769412,0.2963102321693063,-1.0589736235869216,-2.4116064997943747,-35.90714385592933,-5.768484042659577,1.6318497681808646,1.1914703526361166,-2.070437194112608,0.192853757225067
intensification,288078.9914676083,87023.55311436976,2463022.8696214166,169197.03752584933,9.9113309206964,-0.6926860649953047,-0.7675601966899706,0.24902936055707048,0.9037612595996415,1.0091939715993796,-27.254291711657288,-0.4650301085275896,6.095017064136935,0.8232739685140206,-1.097445502520151,0.4595722340888367,5.454161040708786,0.9512390460466031,7.217438093581304,23.56468202835964,0.3920936880418324,0.3996795973271516
mature,235110.28447927727,139723.17750174162,2877337.8467290923,260169.66197932116,8.226661906591907,0.6780557463580099,-0.8013530175374648,8.307454204579674,1.2046997450872456,1.3454089676500451,-62.24443698938184,0.43538314843075065,10.032846006722314,6.453281943309683,0.6136794692397414,1.3136945468514782,6.922207855666692,3.1492855364526497,8.313697377102415,61.74133595599409,7.597684037423095,-6.394904834095238
decay,299782.6402115612,181253.12007310535,3087644.4249795633,365962.2452284628,1.5768507512175114,3.0086421063605844,-3.8613982240273965,11.160993677853062,5.7758487990885214,-3.4332626340623196,-100.89102026200605,16.284529150693064,6.351011220235617,8.473107269277403,3.154913287763747,1.0041619611345443,-0.3086111162551231,12.147302278784245,1.9645573462533206,102.86695661856082,12.58977616668934,-19.15961877378928
