,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,105606.43076775552,335180.36896403914,2910299.47770069,1202446.7465130342,-1.8044553490294435,0.6813980732011888,2.176099598087982,10.881004154168387,1.9715303654243583,4.470287171557515,38.38638658826561,-14.974018672083192,-0.5016300139931935,-0.8459549977286092,0.7888547973164215,-4.68066295112442,21.84923828819312,-8.121298582028377,-2.305732843936191,-16.908792549131032,1.0486559582852657,-1.8521844660255928
intensification,258928.9036322341,385092.27702148934,4322922.863712552,1055150.4696703362,-2.238738656390157,3.1827652114657505,-0.33477839850371227,6.526354839284155,8.189211147586981,3.5804012843668156,50.96742761793547,1.6731989772713882,-1.7136486141394032,-1.8928308742108022,1.7439160035645371,2.7675362923189475,17.22249411160224,-1.7677188054863047,-5.50126858894685,-31.171416451439363,2.5307246357705373,-10.30205102054556
mature,200464.49308136103,576927.9398405473,4099296.1492667454,816515.1319491968,-1.812888149816313,-0.5753361294062649,-8.897757358841494,3.398595416856439,-5.432313652808998,9.951407354031062,13.172374873684612,-26.26505712299123,-0.4822200050563318,-1.7793318354140513,-2.674353612271043,0.9438738311788553,-15.350391629846388,-13.789675822220005,0.3697357613153767,-17.812120994873197,-5.0336019765895035,0.17902852507329126
decay,58340.05134129413,240766.12530152942,2265786.8356263726,322060.12775425386,-0.004299239836349609,0.7638103089960938,-3.8325446479657197,2.1457935517517543,1.0718546573733465,-2.042782666325931,-17.67313799944241,-1.5399680479699327,0.1135158067176248,0.064402700325384,-0.6417685643151426,-2.4417020323044154,-12.695065404092958,-1.3973447389878864,-0.954112152528745,8.814916483151526,0.9830638767771761,-5.835714890735428
