,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
incipient,758094.4084814129,401091.8233771623,2208483.7098789643,959702.6403401772,-0.008526337920271873,0.9805694473086352,-8.532407762282052,6.618611148910859,2.04020613764879,-0.8290086210662756,-20.39068742439731,-20.37933111408141,0.6736037961404242,0.32110311568917677,0.4747381684153947,-4.725121229172655,-1.6991146519187161,-12.858212685541625,-0.5934248598450317,27.23250687268092,1.741929093495844,-7.629900482653127
intensification,564779.9422484811,329380.0061945088,1696247.3510412865,747670.2982953509,-0.04358104484515411,1.9312343018723777,-7.960660749295307,5.297464185269566,2.963018772442345,-0.26301601817000847,-9.58024816198671,1.425747751240568,-0.9378360883886891,3.3805246907304523,-2.9917552560287333,2.365449853009024,-4.396503074034547,5.337582641443484,-4.067120771443855,13.187986882092622,5.99469575457622,-9.346290044361956
mature,132917.8103932286,557074.2663274946,1416105.6477457804,1364949.676361596,-0.41262250589762595,1.8565845242573262,-21.2001902121688,6.012679218464805,5.196489872597104,-4.3167971076988705,9.779098875605824,-3.7068618778968685,-0.35395666843792867,3.526342949710272,0.5265458825639897,-3.3233994488657075,2.6328779289497986,-4.204526026845247,-3.2259819716734124,14.4665917714104,5.149492353040641,-27.710533579581984
decay,248188.56284904192,209503.83186585936,1311408.963329564,635442.0627943055,0.5767394694162392,0.9828047627535932,-9.713428949242358,3.419765660649619,2.2457291579654477,-1.2840100589808838,-3.0051440155671743,-4.990902125412735,0.9014849796716847,1.7576669676382473,0.3618960932749489,-0.46332523322836233,-1.4808552161840962,-1.0245167960650783,-0.3242888325206664,10.660978279209196,3.257645723648547,-9.16680928054432
