19851086,Ck,Ca,Ke,Ge
incipient,-1.023426259194166,0.4850215274314365,277525.5942007344,2.441576436356855
intensification,-5.167159827425395,1.736479752693832,484150.2850304481,4.955072470356624
mature,-6.883282119212645,1.5536881920638304,616585.6085862699,3.010843903904786
decay,-1.9540091541168614,0.6369213906651612,419966.88801481744,1.3986300917190835
