20150108,Ck,Ca,Ke,Ge
incipient,-1.4000456139774946,1.427846162026507,306461.6522751983,-3.0212477059159255
intensification,-5.69363027670016,2.812989844785557,644187.9860640026,2.4502626126032183
mature,-16.031762341111655,2.5296037935051787,1169377.703849654,2.6135605869154173
decay,-24.84454113079585,2.5519252656382476,1254005.5218522325,2.5326501946881224
